class,precision,recall,f1
asteroid,0.8108,0.8333,0.8219
black_hole,0.8083,0.9510,0.8739
comet,0.8667,0.7500,0.8041
constellation,0.6481,0.7576,0.6986
galaxy,0.8842,0.8215,0.8517
nebula,0.7636,0.9180,0.8337
planet,0.9110,0.9556,0.9328
star,0.8533,0.7286,0.7860
